tick_id,ID,trial,obs_date,arena,sex,treatment,origin,velocity,distance_cm,time_moving_s,time_not_moving_s,video_title,time_moving_min,distance_m,com_garden_date,retention,time,distance
240202-1,61,Trial    52,240202,Arena 1,f,cold,lab,0.083008,7167.61,41539.1,44809.8,240202,692.3183333,71.6761,240109,24,692.3183333,71.6761
240202-2,62,Trial    52,240202,Arena 2,m,cold,lab,0.137744,11601.6,54148.1,30078.4,240202,902.4683333,116.016,240109,24,902.4683333,116.016
240202-3,63,Trial    52,240202,Arena 3,m,warm,lab,0.0658109,5686.06,36556.6,49843.4,240202,609.2766667,56.8606,240109,24,609.2766667,56.8606
240202-4,64,Trial    52,240202,Arena 4,f,warm,lab,0.156546,13521.5,64172.9,22201.5,240202,1069.548333,135.215,240109,24,1069.548333,135.215
240203-1,65,Trial    53,240203,Arena 1,m,cold,lab,0.0425032,3603.14,37882.5,46896.6,240203,631.375,36.0314,240109,25,631.375,36.0314
240203-2,66,Trial    53,240203,Arena 2,f,cold,lab,0.103686,5478.12,32343.8,20494.3,240203,539.0633333,54.7812,240109,25,539.0633333,54.7812
240203-3,67,Trial    53,240203,Arena 3,f,warm,lab,0.286757,24478.2,80807.6,4559.22,240203,1346.793333,244.782,240109,25,1346.793333,244.782
240203-4,68,Trial    53,240203,Arena 4,m,warm,lab,0.0197017,1696.15,33058,53034.4,240203,550.9666667,16.9615,240109,25,550.9666667,16.9615
240205-1,69,Trial    54,240205,Arena 1,m,cold,lab,0.0353553,3050.91,34791.6,51501.7,240205,579.86,30.5091,240109,26,579.86,30.5091
240205-2,70,Trial    54,240205,Arena 2,f,warm,lab,0.0225727,1949.9,26214.3,60169,240205,436.905,19.499,240109,26,436.905,19.499
240205-3,71,Trial    54,240205,Arena 3,f,cold,lab,0.132509,5683.36,35252.1,7646.54,240205,587.535,56.8336,240109,26,587.535,56.8336
240205-4,72,Trial    54,240205,Arena 4,m,warm,lab,0.0643952,5561.9,31045.5,55326.3,240205,517.425,55.619,240109,26,517.425,55.619
240206-1,73,Trial    55,240206,Arena 1,m,warm,lab,0.275274,9876.03,34685.8,1192.11,240206,578.0966667,98.7603,240109,27,578.0966667,98.7603
240206-2,74,Trial    55,240206,Arena 2,f,warm,lab,0.188823,16302.9,56036.1,30304,240206,933.935,163.029,240109,27,933.935,163.029
240206-3,75,Trial    55,240206,Arena 3,m,cold,lab,0.0717492,6080.51,45965.4,38787.6,240206,766.09,60.8051,240109,27,766.09,60.8051
240206-4,76,Trial    55,240206,Arena 4,f,cold,lab,0.103027,8882.98,47161.8,39058.4,240206,786.03,88.8298,240109,27,786.03,88.8298
240208-1,77,Trial    56,240208,Arena 1,f,cold,lab,0.0670365,5632.74,34405.2,49623.2,240208,573.42,56.3274,240109,29,573.42,56.3274
240208-2,78,Trial    56,240208,Arena 2,f,warm,lab,0.113877,9829.63,40970,45348.4,240208,682.8333333,98.2963,240109,29,682.8333333,98.2963
240208-3,79,Trial    56,240208,Arena 3,m,cold,lab,0.129699,4970.13,25432,12893.7,240208,423.8666667,49.7013,240109,29,423.8666667,49.7013
240208-4,80,Trial    56,240208,Arena 4,m,warm,lab,0.0588359,2941.03,25587.5,24401,240208,426.4583333,29.4103,240109,29,426.4583333,29.4103
240209-1,81,Trial    57,240209,Arena 1,m,cold,lab,0.0845977,4384.07,27248.5,24579.8,240209,454.1416667,43.8407,240109,30,454.1416667,43.8407
240209-2,82,Trial    57,240209,Arena 2,m,warm,lab,0.0601925,5139.98,37258.7,48136.1,240209,620.9783333,51.3998,240109,30,620.9783333,51.3998
